,Year,Month,Day,StockName,Positive,Negative,Neutral,Total Tweets
0,2020,1,1,Apple,10.0,2.0,8.0,20.0
1,2020,1,2,Apple,42.0,11.0,31.0,84.0
2,2020,1,3,Apple,21.0,11.0,12.0,44.0
3,2020,1,4,Apple,3.0,1.0,8.0,12.0
4,2020,1,5,Apple,4.0,1.0,9.0,14.0
5,2020,1,6,Apple,19.0,5.0,8.0,32.0
6,2020,1,7,Apple,20.0,6.0,9.0,35.0
7,2020,1,8,Apple,19.0,6.0,12.0,37.0
8,2020,1,9,Apple,30.0,6.0,15.0,51.0
9,2020,1,10,Apple,19.0,7.0,9.0,35.0
10,2020,1,11,Apple,9.0,1.0,2.0,12.0
11,2020,1,12,Apple,8.0,0.0,7.0,15.0
12,2020,1,13,Apple,13.0,3.0,9.0,25.0
13,2020,1,14,Apple,24.0,8.0,17.0,49.0
14,2020,1,15,Apple,19.0,8.0,16.0,43.0
15,2020,1,16,Apple,14.0,5.0,8.0,27.0
16,2020,1,17,Apple,17.0,0.0,18.0,35.0
17,2020,1,18,Apple,4.0,5.0,1.0,10.0
18,2020,1,19,Apple,4.0,3.0,4.0,11.0
19,2020,1,20,Apple,6.0,1.0,13.0,20.0
20,2020,1,21,Apple,19.0,1.0,8.0,28.0
21,2020,1,22,Apple,11.0,1.0,11.0,23.0
22,2020,1,23,Apple,23.0,4.0,6.0,33.0
23,2020,1,24,Apple,20.0,0.0,14.0,34.0
24,2020,1,25,Apple,10.0,3.0,11.0,24.0
25,2020,1,26,Apple,4.0,3.0,3.0,10.0
26,2020,1,27,Apple,10.0,3.0,15.0,28.0
27,2020,1,28,Apple,47.0,13.0,33.0,93.0
28,2020,1,29,Apple,41.0,12.0,33.0,86.0
29,2020,1,30,Apple,21.0,2.0,14.0,37.0
30,2020,1,31,Apple,24.0,3.0,13.0,40.0
31,2020,2,1,Apple,8.0,4.0,11.0,23.0
32,2020,2,2,Apple,2.0,3.0,1.0,6.0
33,2020,2,3,Apple,19.0,4.0,9.0,32.0
34,2020,2,4,Apple,15.0,4.0,15.0,34.0
35,2020,2,5,Apple,17.0,3.0,13.0,33.0
36,2020,2,6,Apple,13.0,4.0,8.0,25.0
37,2020,2,7,Apple,11.0,2.0,7.0,20.0
38,2020,2,8,Apple,3.0,3.0,5.0,11.0
39,2020,2,9,Apple,8.0,2.0,3.0,13.0
40,2020,2,10,Apple,11.0,7.0,13.0,31.0
41,2020,2,11,Apple,13.0,5.0,9.0,27.0
42,2020,2,12,Apple,16.0,2.0,12.0,30.0
43,2020,2,13,Apple,14.0,0.0,15.0,29.0
44,2020,2,14,Apple,8.0,0.0,8.0,16.0
45,2020,2,15,Apple,5.0,2.0,11.0,18.0
46,2020,2,16,Apple,5.0,1.0,1.0,7.0
47,2020,2,17,Apple,18.0,7.0,12.0,37.0
48,2020,2,18,Apple,22.0,19.0,28.0,69.0
49,2020,2,19,Apple,29.0,8.0,9.0,46.0
50,2020,2,20,Apple,21.0,4.0,12.0,37.0
51,2020,2,21,Apple,18.0,3.0,18.0,39.0
52,2020,2,22,Apple,5.0,3.0,4.0,12.0
53,2020,2,23,Apple,4.0,1.0,4.0,9.0
54,2020,2,24,Apple,17.0,13.0,21.0,51.0
55,2020,2,25,Apple,14.0,6.0,23.0,43.0
56,2020,2,26,Apple,20.0,0.0,21.0,41.0
57,2020,2,27,Apple,13.0,5.0,17.0,35.0
58,2020,2,28,Apple,22.0,12.0,29.0,63.0
59,2020,2,29,Apple,3.0,1.0,5.0,9.0
60,2020,3,1,Apple,9.0,8.0,10.0,27.0
61,2020,3,2,Apple,25.0,15.0,19.0,59.0
62,2020,3,3,Apple,31.0,4.0,18.0,53.0
63,2020,3,4,Apple,18.0,2.0,12.0,32.0
64,2020,3,5,Apple,21.0,3.0,17.0,41.0
65,2020,3,6,Apple,9.0,5.0,20.0,34.0
66,2020,3,7,Apple,4.0,1.0,2.0,7.0
67,2020,3,8,Apple,4.0,1.0,6.0,11.0
68,2020,3,9,Apple,18.0,10.0,16.0,44.0
69,2020,3,10,Apple,22.0,5.0,19.0,46.0
70,2020,3,11,Apple,19.0,3.0,15.0,37.0
71,2020,3,12,Apple,19.0,6.0,21.0,46.0
72,2020,3,13,Apple,15.0,3.0,21.0,39.0
73,2020,3,14,Apple,9.0,0.0,10.0,19.0
74,2020,3,15,Apple,22.0,5.0,26.0,53.0
75,2020,3,16,Apple,14.0,6.0,15.0,35.0
76,2020,3,17,Apple,16.0,9.0,15.0,40.0
77,2020,3,18,Apple,24.0,4.0,17.0,45.0
78,2020,3,19,Apple,19.0,1.0,10.0,30.0
79,2020,3,20,Apple,14.0,2.0,18.0,34.0
80,2020,3,21,Apple,8.0,0.0,7.0,15.0
81,2020,3,22,Apple,11.0,5.0,9.0,25.0
82,2020,3,23,Apple,13.0,1.0,13.0,27.0
83,2020,3,24,Apple,27.0,3.0,21.0,51.0
84,2020,3,25,Apple,14.0,0.0,21.0,35.0
85,2020,3,26,Apple,19.0,4.0,14.0,37.0
86,2020,3,27,Apple,20.0,5.0,12.0,37.0
87,2020,3,28,Apple,7.0,2.0,10.0,19.0
88,2020,3,29,Apple,9.0,3.0,5.0,17.0
89,2020,3,30,Apple,11.0,1.0,7.0,19.0
90,2020,3,31,Apple,15.0,2.0,5.0,22.0
91,2020,4,1,Apple,11.0,1.0,12.0,24.0
92,2020,4,2,Apple,8.0,1.0,10.0,19.0
93,2020,4,3,Apple,15.0,3.0,14.0,32.0
94,2020,4,4,Apple,8.0,3.0,3.0,14.0
95,2020,4,5,Apple,3.0,2.0,2.0,7.0
96,2020,4,6,Apple,17.0,2.0,11.0,30.0
97,2020,4,7,Apple,20.0,2.0,16.0,38.0
98,2020,4,8,Apple,19.0,2.0,15.0,36.0
99,2020,4,9,Apple,18.0,3.0,10.0,31.0
100,2020,4,10,Apple,19.0,0.0,13.0,32.0
101,2020,4,11,Apple,11.0,3.0,9.0,23.0
102,2020,4,12,Apple,8.0,0.0,8.0,16.0
103,2020,4,13,Apple,18.0,1.0,9.0,28.0
104,2020,4,14,Apple,19.0,4.0,17.0,40.0
105,2020,4,15,Apple,21.0,2.0,11.0,34.0
106,2020,4,16,Apple,20.0,3.0,10.0,33.0
107,2020,4,17,Apple,31.0,9.0,17.0,57.0
108,2020,4,18,Apple,10.0,2.0,11.0,23.0
109,2020,4,19,Apple,8.0,7.0,11.0,26.0
110,2020,4,20,Apple,13.0,1.0,6.0,20.0
111,2020,4,21,Apple,13.0,5.0,14.0,32.0
112,2020,4,22,Apple,27.0,3.0,18.0,48.0
113,2020,4,23,Apple,32.0,4.0,20.0,56.0
114,2020,4,24,Apple,31.0,1.0,31.0,63.0
115,2020,4,25,Apple,12.0,2.0,16.0,30.0
116,2020,4,26,Apple,10.0,2.0,19.0,31.0
117,2020,4,27,Apple,24.0,5.0,26.0,55.0
118,2020,4,28,Apple,27.0,3.0,16.0,46.0
119,2020,4,29,Apple,21.0,2.0,28.0,51.0
120,2020,4,30,Apple,54.0,18.0,39.0,111.0
121,2020,5,1,Apple,38.0,12.0,48.0,98.0
122,2020,5,2,Apple,20.0,3.0,18.0,41.0
123,2020,5,3,Apple,13.0,2.0,15.0,30.0
124,2020,5,4,Apple,16.0,4.0,22.0,42.0
125,2020,5,5,Apple,28.0,4.0,21.0,53.0
126,2020,5,6,Apple,23.0,3.0,30.0,56.0
127,2020,5,7,Apple,19.0,3.0,22.0,44.0
128,2020,5,8,Apple,29.0,5.0,31.0,65.0
129,2020,5,9,Apple,11.0,2.0,6.0,19.0
