,Year,Month,Day,StockName,Positive,Negative,Neutral,Total Tweets
0,2020,1,1,Microsoft,9,0,11,20
1,2020,1,2,Microsoft,8,1,7,16
2,2020,1,3,Microsoft,10,2,4,16
3,2020,1,4,Microsoft,3,1,1,5
4,2020,1,5,Microsoft,2,1,2,5
5,2020,1,6,Microsoft,3,1,5,9
6,2020,1,7,Microsoft,5,3,9,17
7,2020,1,8,Microsoft,13,3,6,22
8,2020,1,9,Microsoft,11,4,6,21
9,2020,1,10,Microsoft,22,3,4,29
10,2020,1,11,Microsoft,3,3,3,9
11,2020,1,12,Microsoft,4,0,3,7
12,2020,1,13,Microsoft,16,1,7,24
13,2020,1,14,Microsoft,15,6,28,49
14,2020,1,15,Microsoft,18,2,13,33
15,2020,1,16,Microsoft,16,2,10,28
16,2020,1,17,Microsoft,13,3,7,23
17,2020,1,18,Microsoft,3,1,5,9
18,2020,1,19,Microsoft,2,0,3,5
19,2020,1,20,Microsoft,4,1,16,21
20,2020,1,21,Microsoft,14,0,7,21
21,2020,1,22,Microsoft,16,2,7,25
22,2020,1,23,Microsoft,11,4,17,32
23,2020,1,24,Microsoft,13,3,18,34
24,2020,1,25,Microsoft,5,0,3,8
25,2020,1,26,Microsoft,5,2,3,10
26,2020,1,27,Microsoft,7,4,11,22
27,2020,1,28,Microsoft,17,2,14,33
28,2020,1,29,Microsoft,19,2,26,47
29,2020,1,30,Microsoft,17,9,25,51
30,2020,1,31,Microsoft,10,1,19,30
31,2020,2,1,Microsoft,9,3,11,23
32,2020,2,2,Microsoft,3,1,3,7
33,2020,2,3,Microsoft,24,2,9,35
34,2020,2,4,Microsoft,22,4,15,41
35,2020,2,5,Microsoft,27,6,20,53
36,2020,2,6,Microsoft,11,3,13,27
37,2020,2,7,Microsoft,8,0,16,24
38,2020,2,8,Microsoft,4,0,5,9
39,2020,2,9,Microsoft,1,1,3,5
40,2020,2,10,Microsoft,18,2,17,37
41,2020,2,11,Microsoft,20,2,26,48
42,2020,2,12,Microsoft,6,7,12,25
43,2020,2,13,Microsoft,18,5,15,38
44,2020,2,14,Microsoft,18,4,11,33
45,2020,2,15,Microsoft,7,0,4,11
46,2020,2,16,Microsoft,3,0,1,4
