,Year,Month,Day,StockName,Positive,Negative,Neutral,Total Tweets
0,2020,1,1,NVDA,1,0,0,1
1,2020,1,2,NVDA,2,0,2,4
2,2020,1,3,NVDA,2,0,1,3
3,2020,1,4,NVDA,0,1,1,2
4,2020,1,5,NVDA,3,0,0,3
5,2020,1,6,NVDA,1,0,0,1
6,2020,1,7,NVDA,3,0,0,3
7,2020,1,8,NVDA,1,0,0,1
8,2020,1,9,NVDA,1,1,2,4
9,2020,1,10,NVDA,2,0,1,3
10,2020,1,11,NVDA,2,0,1,3
11,2020,1,12,NVDA,1,0,1,2
12,2020,1,13,NVDA,3,0,2,5
13,2020,1,14,NVDA,1,0,1,2
14,2020,1,15,NVDA,4,0,2,6
15,2020,1,16,NVDA,2,0,0,2
16,2020,1,17,NVDA,4,0,0,4
17,2020,1,18,NVDA,1,0,1,2
18,2020,1,19,NVDA,0,0,2,2
19,2020,1,20,NVDA,1,0,0,1
20,2020,1,21,NVDA,1,0,2,3
21,2020,1,22,NVDA,1,1,5,7
22,2020,1,23,NVDA,5,0,1,6
23,2020,1,24,NVDA,3,1,2,6
24,2020,1,25,NVDA,1,0,2,3
25,2020,1,26,NVDA,0,0,1,1
26,2020,1,27,NVDA,6,0,2,8
27,2020,1,28,NVDA,3,0,1,4
28,2020,1,29,NVDA,2,0,0,2
29,2020,1,30,NVDA,3,1,2,6
30,2020,1,31,NVDA,4,1,1,6
31,2020,2,1,NVDA,1,0,1,2
32,2020,2,2,NVDA,1,0,2,3
33,2020,2,3,NVDA,3,2,2,7
34,2020,2,4,NVDA,1,1,0,2
35,2020,2,5,NVDA,2,3,1,6
36,2020,2,6,NVDA,3,0,1,4
37,2020,2,7,NVDA,1,1,2,4
38,2020,2,8,NVDA,4,0,3,7
39,2020,2,9,NVDA,1,1,1,3
40,2020,2,10,NVDA,1,2,3,6
41,2020,2,11,NVDA,2,3,3,8
42,2020,2,12,NVDA,2,1,2,5
43,2020,2,13,NVDA,7,5,9,21
44,2020,2,14,NVDA,17,2,6,25
45,2020,2,15,NVDA,6,2,3,11
46,2020,2,16,NVDA,1,0,1,2
47,2020,2,17,NVDA,0,1,3,4
48,2020,2,18,NVDA,3,1,1,5
49,2020,2,19,NVDA,5,0,6,11
50,2020,2,20,NVDA,1,1,4,6
51,2020,2,21,NVDA,5,1,2,8
52,2020,2,22,NVDA,2,1,1,4
53,2020,2,23,NVDA,0,1,1,2
54,2020,2,24,NVDA,4,1,5,10
55,2020,2,25,NVDA,1,1,6,8
56,2020,2,26,NVDA,3,1,1,5
57,2020,2,27,NVDA,2,1,1,4
58,2020,2,28,NVDA,2,2,2,6
59,2020,2,29,NVDA,1,0,1,2
60,2020,3,1,NVDA,2,0,2,4
