,Year,Month,Day,StockName,Positive,Negative,Neutral,Total Tweets
0,2021,8,4,PayPal,29.0,12.0,27.0,68.0
1,2021,8,5,PayPal,154.0,47.0,188.0,389.0
2,2021,8,6,PayPal,90.0,35.0,81.0,206.0
3,2021,8,7,PayPal,43.0,12.0,34.0,89.0
4,2021,8,8,PayPal,53.0,8.0,30.0,91.0
5,2021,8,9,PayPal,70.0,13.0,62.0,145.0
6,2021,8,10,PayPal,84.0,28.0,107.0,219.0
7,2021,8,11,PayPal,64.0,30.0,63.0,157.0
8,2021,8,12,PayPal,58.0,34.0,69.0,161.0
9,2021,8,13,PayPal,82.0,21.0,60.0,163.0
10,2021,8,14,PayPal,36.0,7.0,12.0,55.0
11,2021,8,15,PayPal,45.0,10.0,25.0,80.0
12,2021,8,16,PayPal,113.0,20.0,83.0,216.0
13,2021,8,17,PayPal,107.0,40.0,68.0,215.0
14,2021,8,18,PayPal,117.0,45.0,97.0,259.0
15,2021,8,19,PayPal,55.0,22.0,53.0,130.0
16,2021,8,20,PayPal,75.0,22.0,49.0,146.0
17,2021,8,21,PayPal,27.0,22.0,16.0,65.0
18,2021,8,22,PayPal,40.0,13.0,29.0,82.0
19,2021,8,23,PayPal,166.0,45.0,176.0,387.0
20,2021,8,24,PayPal,108.0,36.0,63.0,207.0
21,2021,8,25,PayPal,85.0,31.0,84.0,200.0
22,2021,8,26,PayPal,56.0,26.0,50.0,132.0
23,2021,8,27,PayPal,68.0,11.0,54.0,133.0
24,2021,8,28,PayPal,31.0,11.0,22.0,64.0
25,2021,8,29,PayPal,45.0,5.0,32.0,82.0
26,2021,8,30,PayPal,408.0,119.0,400.0,927.0
27,2021,8,31,PayPal,277.0,79.0,175.0,531.0
28,2021,9,1,PayPal,127.0,37.0,118.0,282.0
29,2021,9,2,PayPal,96.0,25.0,101.0,222.0
30,2021,9,3,PayPal,114.0,29.0,81.0,224.0
31,2021,9,4,PayPal,41.0,9.0,22.0,72.0
32,2021,9,5,PayPal,51.0,14.0,36.0,101.0
33,2021,9,6,PayPal,60.0,15.0,45.0,120.0
34,2021,9,7,PayPal,183.0,48.0,196.0,427.0
35,2021,9,8,PayPal,316.0,110.0,316.0,742.0
36,2021,9,9,PayPal,161.0,36.0,104.0,301.0
37,2021,9,10,PayPal,126.0,28.0,76.0,230.0
38,2021,9,11,PayPal,57.0,12.0,27.0,96.0
39,2021,9,12,PayPal,58.0,12.0,25.0,95.0
40,2021,9,13,PayPal,83.0,35.0,63.0,181.0
41,2021,9,14,PayPal,77.0,30.0,55.0,162.0
42,2021,9,15,PayPal,124.0,18.0,72.0,214.0
43,2021,9,16,PayPal,100.0,23.0,64.0,187.0
44,2021,9,17,PayPal,91.0,25.0,73.0,189.0
45,2021,9,18,PayPal,43.0,10.0,19.0,72.0
46,2021,9,19,PayPal,48.0,11.0,26.0,85.0
47,2021,9,20,PayPal,62.0,29.0,60.0,151.0
48,2021,9,21,PayPal,115.0,25.0,66.0,206.0
