,Year,Month,Day,StockName,Positive,Negative,Neutral,Total Tweets
0,2020,1,1,Tesla,17.0,3.0,3.0,23.0
1,2020,1,2,Tesla,30.0,3.0,21.0,54.0
2,2020,1,3,Tesla,34.0,15.0,41.0,90.0
3,2020,1,4,Tesla,16.0,6.0,24.0,46.0
4,2020,1,5,Tesla,12.0,4.0,7.0,23.0
5,2020,1,6,Tesla,14.0,6.0,13.0,33.0
6,2020,1,7,Tesla,68.0,17.0,49.0,134.0
7,2020,1,8,Tesla,59.0,23.0,52.0,134.0
8,2020,1,9,Tesla,45.0,11.0,40.0,96.0
9,2020,1,10,Tesla,24.0,13.0,15.0,52.0
10,2020,1,11,Tesla,11.0,2.0,16.0,29.0
11,2020,1,12,Tesla,9.0,5.0,10.0,24.0
12,2020,1,13,Tesla,62.0,24.0,73.0,159.0
13,2020,1,14,Tesla,54.0,27.0,66.0,147.0
14,2020,1,15,Tesla,29.0,10.0,26.0,65.0
15,2020,1,16,Tesla,37.0,17.0,39.0,93.0
16,2020,1,17,Tesla,20.0,7.0,21.0,48.0
17,2020,1,18,Tesla,13.0,3.0,16.0,32.0
18,2020,1,19,Tesla,12.0,4.0,11.0,27.0
19,2020,1,20,Tesla,17.0,4.0,15.0,36.0
20,2020,1,21,Tesla,41.0,11.0,33.0,85.0
21,2020,1,22,Tesla,76.0,20.0,84.0,180.0
22,2020,1,23,Tesla,44.0,18.0,42.0,104.0
23,2020,1,24,Tesla,30.0,8.0,30.0,68.0
24,2020,1,25,Tesla,10.0,5.0,16.0,31.0
25,2020,1,26,Tesla,13.0,3.0,10.0,26.0
26,2020,1,27,Tesla,23.0,8.0,19.0,50.0
27,2020,1,28,Tesla,18.0,3.0,24.0,45.0
28,2020,1,29,Tesla,90.0,40.0,98.0,228.0
29,2020,1,30,Tesla,104.0,39.0,86.0,229.0
30,2020,1,31,Tesla,53.0,14.0,34.0,101.0
31,2020,2,1,Tesla,32.0,9.0,19.0,60.0
32,2020,2,2,Tesla,21.0,13.0,23.0,57.0
33,2020,2,3,Tesla,169.0,62.0,166.0,397.0
34,2020,2,4,Tesla,390.0,162.0,432.0,984.0
35,2020,2,5,Tesla,186.0,92.0,180.0,458.0
36,2020,2,6,Tesla,92.0,35.0,69.0,196.0
37,2020,2,7,Tesla,42.0,23.0,42.0,107.0
38,2020,2,8,Tesla,24.0,8.0,24.0,56.0
39,2020,2,9,Tesla,17.0,10.0,20.0,47.0
40,2020,2,10,Tesla,54.0,20.0,50.0,124.0
41,2020,2,11,Tesla,25.0,12.0,24.0,61.0
42,2020,2,12,Tesla,37.0,9.0,26.0,72.0
43,2020,2,13,Tesla,51.0,33.0,45.0,129.0
44,2020,2,14,Tesla,40.0,16.0,31.0,87.0
45,2020,2,15,Tesla,18.0,5.0,19.0,42.0
46,2020,2,16,Tesla,17.0,12.0,10.0,39.0
47,2020,2,17,Tesla,25.0,9.0,25.0,59.0
48,2020,2,18,Tesla,40.0,15.0,39.0,94.0
49,2020,2,19,Tesla,70.0,28.0,64.0,162.0
50,2020,2,20,Tesla,57.0,12.0,30.0,99.0
51,2020,2,21,Tesla,35.0,12.0,25.0,72.0
52,2020,2,22,Tesla,19.0,9.0,8.0,36.0
53,2020,2,23,Tesla,21.0,3.0,19.0,43.0
54,2020,2,24,Tesla,45.0,11.0,27.0,83.0
55,2020,2,25,Tesla,41.0,15.0,23.0,79.0
56,2020,2,26,Tesla,27.0,11.0,23.0,61.0
57,2020,2,27,Tesla,25.0,17.0,28.0,70.0
58,2020,2,28,Tesla,38.0,17.0,27.0,82.0
59,2020,2,29,Tesla,10.0,4.0,12.0,26.0
60,2020,3,1,Tesla,9.0,3.0,11.0,23.0
61,2020,3,2,Tesla,26.0,4.0,21.0,51.0
62,2020,3,3,Tesla,41.0,18.0,27.0,86.0
63,2020,3,4,Tesla,15.0,6.0,15.0,36.0
64,2020,3,5,Tesla,24.0,12.0,26.0,62.0
65,2020,3,6,Tesla,21.0,6.0,22.0,49.0
66,2020,3,7,Tesla,13.0,5.0,12.0,30.0
67,2020,3,8,Tesla,9.0,2.0,11.0,22.0
68,2020,3,9,Tesla,34.0,10.0,22.0,66.0
69,2020,3,10,Tesla,33.0,7.0,16.0,56.0
70,2020,3,11,Tesla,26.0,1.0,23.0,50.0
71,2020,3,12,Tesla,24.0,12.0,25.0,61.0
72,2020,3,13,Tesla,14.0,8.0,24.0,46.0
73,2020,3,14,Tesla,10.0,2.0,7.0,19.0
74,2020,3,15,Tesla,11.0,3.0,8.0,22.0
75,2020,3,16,Tesla,18.0,7.0,15.0,40.0
76,2020,3,17,Tesla,21.0,12.0,28.0,61.0
77,2020,3,18,Tesla,38.0,24.0,28.0,90.0
78,2020,3,19,Tesla,30.0,14.0,31.0,75.0
79,2020,3,20,Tesla,14.0,7.0,14.0,35.0
80,2020,3,21,Tesla,4.0,2.0,8.0,14.0
81,2020,3,22,Tesla,8.0,2.0,8.0,18.0
82,2020,3,23,Tesla,12.0,4.0,13.0,29.0
83,2020,3,24,Tesla,21.0,14.0,21.0,56.0
84,2020,3,25,Tesla,26.0,5.0,24.0,55.0
85,2020,3,26,Tesla,20.0,8.0,15.0,43.0
86,2020,3,27,Tesla,9.0,4.0,13.0,26.0
87,2020,3,28,Tesla,8.0,5.0,6.0,19.0
88,2020,3,29,Tesla,8.0,6.0,11.0,25.0
89,2020,3,30,Tesla,11.0,3.0,3.0,17.0
90,2020,3,31,Tesla,19.0,5.0,12.0,36.0
91,2020,4,1,Tesla,12.0,7.0,12.0,31.0
92,2020,4,2,Tesla,37.0,10.0,26.0,73.0
93,2020,4,3,Tesla,26.0,6.0,29.0,61.0
94,2020,4,4,Tesla,7.0,5.0,6.0,18.0
95,2020,4,5,Tesla,11.0,4.0,6.0,21.0
96,2020,4,6,Tesla,13.0,4.0,15.0,32.0
97,2020,4,7,Tesla,20.0,8.0,14.0,42.0
98,2020,4,8,Tesla,8.0,5.0,12.0,25.0
99,2020,4,9,Tesla,18.0,8.0,17.0,43.0
100,2020,4,10,Tesla,13.0,5.0,10.0,28.0
101,2020,4,11,Tesla,10.0,2.0,1.0,13.0
102,2020,4,12,Tesla,13.0,1.0,10.0,24.0
103,2020,4,13,Tesla,30.0,10.0,26.0,66.0
104,2020,4,14,Tesla,44.0,12.0,48.0,104.0
105,2020,4,15,Tesla,45.0,12.0,38.0,95.0
106,2020,4,16,Tesla,26.0,13.0,22.0,61.0
107,2020,4,17,Tesla,23.0,13.0,20.0,56.0
108,2020,4,18,Tesla,16.0,6.0,6.0,28.0
109,2020,4,19,Tesla,10.0,6.0,8.0,24.0
110,2020,4,20,Tesla,19.0,6.0,14.0,39.0
111,2020,4,21,Tesla,19.0,9.0,19.0,47.0
112,2020,4,22,Tesla,18.0,4.0,28.0,50.0
113,2020,4,23,Tesla,15.0,6.0,16.0,37.0
114,2020,4,24,Tesla,22.0,3.0,13.0,38.0
115,2020,4,25,Tesla,9.0,8.0,14.0,31.0
116,2020,4,26,Tesla,5.0,2.0,14.0,21.0
117,2020,4,27,Tesla,27.0,10.0,36.0,73.0
118,2020,4,28,Tesla,23.0,7.0,22.0,52.0
119,2020,4,29,Tesla,55.0,22.0,50.0,127.0
120,2020,4,30,Tesla,53.0,29.0,41.0,123.0
121,2020,5,1,Tesla,127.0,43.0,85.0,255.0
122,2020,5,2,Tesla,21.0,12.0,21.0,54.0
123,2020,5,3,Tesla,16.0,9.0,16.0,41.0
124,2020,5,4,Tesla,30.0,9.0,31.0,70.0
125,2020,5,5,Tesla,34.0,10.0,22.0,66.0
126,2020,5,6,Tesla,12.0,4.0,12.0,28.0
127,2020,5,7,Tesla,22.0,5.0,22.0,49.0
128,2020,5,8,Tesla,21.0,8.0,24.0,53.0
129,2020,5,9,Tesla,17.0,7.0,19.0,43.0
130,2020,5,10,Tesla,20.0,9.0,21.0,50.0
131,2020,5,11,Tesla,50.0,15.0,43.0,108.0
132,2020,5,12,Tesla,39.0,20.0,32.0,91.0
133,2020,5,13,Tesla,35.0,8.0,34.0,77.0
134,2020,5,14,Tesla,35.0,10.0,21.0,66.0
135,2020,5,15,Tesla,17.0,5.0,14.0,36.0
136,2020,5,16,Tesla,10.0,7.0,7.0,24.0
137,2020,5,17,Tesla,14.0,1.0,9.0,24.0
138,2020,5,18,Tesla,20.0,2.0,12.0,34.0
139,2020,5,19,Tesla,21.0,5.0,22.0,48.0
140,2020,5,20,Tesla,21.0,11.0,21.0,53.0
141,2020,5,21,Tesla,18.0,6.0,23.0,47.0
142,2020,5,22,Tesla,14.0,5.0,18.0,37.0
143,2020,5,23,Tesla,6.0,1.0,7.0,14.0
144,2020,5,24,Tesla,12.0,4.0,6.0,22.0
145,2020,5,25,Tesla,10.0,4.0,6.0,20.0
146,2020,5,26,Tesla,14.0,7.0,13.0,34.0
147,2020,5,27,Tesla,22.0,5.0,24.0,51.0
148,2020,5,28,Tesla,14.0,1.0,16.0,31.0
149,2020,5,29,Tesla,18.0,4.0,18.0,40.0
150,2020,5,30,Tesla,18.0,4.0,16.0,38.0
151,2020,5,31,Tesla,16.0,1.0,10.0,27.0
152,2020,6,1,Tesla,31.0,10.0,38.0,79.0
153,2020,6,2,Tesla,20.0,1.0,27.0,48.0
154,2020,6,3,Tesla,19.0,3.0,20.0,42.0
155,2020,6,4,Tesla,22.0,3.0,23.0,48.0
156,2020,6,5,Tesla,8.0,2.0,13.0,23.0
157,2020,6,6,Tesla,7.0,3.0,13.0,23.0
158,2020,6,7,Tesla,5.0,2.0,10.0,17.0
159,2020,6,8,Tesla,31.0,7.0,28.0,66.0
160,2020,6,9,Tesla,39.0,7.0,31.0,77.0
161,2020,6,10,Tesla,94.0,20.0,114.0,228.0
162,2020,6,11,Tesla,36.0,8.0,41.0,85.0
163,2020,6,12,Tesla,37.0,11.0,32.0,80.0
164,2020,6,13,Tesla,9.0,1.0,16.0,26.0
165,2020,6,14,Tesla,13.0,5.0,14.0,32.0
166,2020,6,15,Tesla,26.0,12.0,26.0,64.0
167,2020,6,16,Tesla,29.0,7.0,28.0,64.0
168,2020,6,17,Tesla,21.0,9.0,24.0,54.0
169,2020,6,18,Tesla,25.0,10.0,35.0,70.0
